ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,label
-0.389,0.262,-0.881,-1.404,-58.105,-8.24,160.994,13.266,-169.14,walking
-0.307,0.262,-0.881,-1.404,-58.105,-8.24,160.972,13.87,-169.266,walking
-0.307,0.251,-0.905,13.916,-66.833,-19.775,161.027,14.535,-169.349,walking
-0.229,0.251,-0.905,13.916,-66.833,-19.775,161.175,15.255,-169.387,walking
-0.229,0.226,-0.918,22.095,-70.129,-23.071,161.362,15.991,-169.409,walking
-0.154,0.226,-0.918,22.095,-70.129,-23.071,161.598,16.738,-169.42,walking
-0.154,0.234,-0.833,27.1,-64.819,-18.86,161.851,17.446,-169.442,walking
-0.034,0.234,-0.833,27.1,-64.819,-18.86,162.131,18.116,-169.47,walking
-0.034,0.347,-0.83,21.423,-44.006,-10.315,162.372,18.666,-169.503,walking
0.073,0.347,-0.83,21.423,-44.006,-10.315,162.581,19.094,-169.547,walking
0.073,0.575,-1.09,12.878,-7.019,17.944,162.708,19.292,-169.673,walking
0.073,0.575,-1.09,12.878,-7.019,17.944,162.762,19.259,-169.882,walking
0.027,0.575,-1.09,12.878,-7.019,17.944,162.806,19.215,-170.096,walking
0.027,0.68,-1.335,-8.484,46.814,36.743,162.625,18.594,-170.327,walking
-0.347,0.68,-1.335,-8.484,46.814,36.743,162.444,17.974,-170.557,walking
-0.347,0.562,-1.244,-35.217,79.529,-2.625,162.153,17.161,-170.283,walking
-0.48,0.562,-1.244,-35.217,79.529,-2.625,161.851,16.364,-170.008,walking
-0.48,0.365,-0.969,-54.321,69.641,-57.19,161.505,15.842,-169.222,walking
-0.26,0.365,-0.969,-54.321,69.641,-57.19,161.153,15.342,-168.431,walking
-0.26,0.227,-0.911,-64.209,52.185,-82.825,160.757,15.095,-167.454,walking
-0.17,0.227,-0.911,-64.209,52.185,-82.825,160.362,14.865,-166.47,walking
-0.17,0.212,-1.025,-65.002,47.363,-86.182,159.966,14.694,-165.465,walking
-0.236,0.212,-1.025,-65.002,47.363,-86.182,159.576,14.529,-164.465,walking
-0.236,0.19,-1.045,-50.781,41.687,-79.895,159.313,14.403,-163.548,walking
-0.293,0.19,-1.045,-50.781,41.687,-79.895,159.055,14.282,-162.631,walking
-0.293,0.109,-0.965,-25.452,31.189,-70.984,159.022,14.233,-161.834,walking
-0.285,0.109,-0.965,-25.452,31.189,-70.984,158.994,14.189,-161.038,walking
-0.285,0.035,-0.898,-1.709,23.621,-60.913,159.175,14.178,-160.367,walking
-0.257,0.035,-0.898,-1.709,23.621,-60.913,159.368,14.167,-159.703,walking
-0.257,0.046,-0.841,19.104,19.897,-54.504,159.747,14.167,-159.109,walking
-0.256,0.046,-0.841,19.104,19.897,-54.504,160.137,14.167,-158.516,walking
-0.256,0.125,-0.834,36.194,22.217,-56.396,160.697,14.15,-157.896,walking
-0.329,0.125,-0.834,36.194,22.217,-56.396,161.257,14.123,-157.275,walking
-0.329,0.201,-0.812,49.744,22.522,-64.331,161.966,14.117,-156.577,walking
-0.422,0.201,-0.812,49.744,22.522,-64.331,162.669,14.106,-155.88,walking
-0.422,0.255,-0.836,59.814,15.869,-74.341,163.488,14.189,-155.105,walking
-0.514,0.255,-0.836,59.814,15.869,-74.341,164.295,14.26,-154.325,walking
-0.514,0.293,-0.875,60.059,-1.16,-79.163,165.103,14.507,-153.545,walking
-0.551,0.293,-0.875,60.059,-1.16,-79.163,165.91,14.744,-152.765,walking
-0.551,0.329,-0.923,48.706,-30.029,-70.007,166.553,15.238,-152.139,walking
-0.557,0.329,-0.923,48.706,-30.029,-70.007,167.201,15.727,-151.501,walking
-0.557,0.371,-0.965,25.818,-54.382,-49.744,167.547,16.403,-151.128,walking
-0.512,0.371,-0.965,25.818,-54.382,-49.744,167.893,17.078,-150.743,walking
-0.512,0.386,-0.872,3.113,-73.853,-26.855,167.932,17.891,-150.634,walking
-0.373,0.386,-0.872,3.113,-73.853,-26.855,167.97,18.704,-150.518,walking
-0.373,0.336,-0.759,-15.503,-80.688,-10.864,167.756,19.545,-150.59,walking
-0.257,0.336,-0.759,-15.503,-80.688,-10.864,167.542,20.38,-150.667,walking
-0.257,0.287,-0.65,-25.757,-76.416,-0.366,167.184,21.143,-150.848,walking
-0.126,0.287,-0.65,-25.757,-76.416,-0.366,166.827,21.901,-151.035,walking
-0.126,0.215,-0.621,-31.677,-62.317,-0.305,166.415,22.516,-151.194,walking
0.136,0.215,-0.621,-31.677,-62.317,-0.305,166.003,23.115,-151.359,walking
0.136,0.086,-0.964,-29.419,-22.583,-10.62,165.707,23.34,-151.315,walking
0.232,0.086,-0.964,-29.419,-22.583,-10.62,165.421,23.544,-151.276,walking
0.232,-0.099,-1.59,-12.451,55.664,-32.104,165.493,23.027,-150.793,walking
-0.297,-0.099,-1.59,-12.451,55.664,-32.104,165.575,22.495,-150.309,walking
-0.297,-0.228,-1.496,-9.399,114.685,-28.015,165.74,21.379,-149.716,walking
-0.81,-0.228,-1.496,-9.399,114.685,-28.015,165.905,20.27,-149.134,walking
-0.81,-0.183,-1.072,6.165,83.679,53.711,165.91,19.281,-149.474,walking
-0.672,-0.183,-1.072,6.165,83.679,53.711,165.932,18.32,-149.821,walking
-0.672,-0.133,-0.926,57.068,33.691,127.441,166.196,17.682,-151.051,walking
-0.349,-0.133,-0.926,57.068,33.691,127.441,166.481,17.062,-152.276,walking
-0.349,0.018,-0.919,85.205,16.357,143.372,166.998,16.589,-153.71,walking
-0.178,0.018,-0.919,85.205,16.357,143.372,167.52,16.133,-155.149,walking
-0.178,0.172,-0.989,76.782,20.813,127.991,168.003,15.677,-156.418,walking
-0.158,0.172,-0.989,76.782,20.813,127.991,168.492,15.227,-157.692,walking
-0.158,0.337,-0.904,46.021,28.625,102.478,168.745,14.76,-158.692,walking
-0.224,0.337,-0.904,46.021,28.625,102.478,168.992,14.299,-159.686,walking
-0.224,0.478,-0.821,11.23,35.522,81.604,168.942,13.804,-160.461,walking
-0.282,0.478,-0.821,11.23,35.522,81.604,168.887,13.321,-161.23,walking
-0.282,0.514,-0.802,-24.719,30.457,72.449,168.492,12.898,-161.911,walking
-0.299,0.514,-0.802,-24.719,30.457,72.449,168.085,12.475,-162.592,walking
-0.299,0.481,-0.889,-59.814,15.503,75.806,167.316,12.189,-163.334,walking
-0.374,0.481,-0.889,-59.814,15.503,75.806,166.553,11.898,-164.064,walking
-0.374,0.407,-1.012,-82.581,-10.254,86.243,165.526,11.816,-164.96,walking
-0.429,0.407,-1.012,-82.581,-10.254,86.243,164.509,11.728,-165.855,walking
-0.429,0.282,-1.07,-86.548,-47.302,82.947,163.438,11.986,-166.816,walking
-0.416,0.282,-1.07,-86.548,-47.302,82.947,162.378,12.228,-167.789,walking
-0.416,0.158,-1.078,-74.097,-81.421,56.946,161.472,12.859,-168.618,walking
-0.328,0.158,-1.078,-74.097,-81.421,56.946,160.56,13.475,-169.459,walking
-0.328,0.074,-1.004,-44.617,-105.347,26.428,159.999,14.403,-170.096,walking
-0.163,0.074,-1.004,-44.617,-105.347,26.428,159.428,15.315,-170.75,walking
-0.163,0.023,-0.883,-13.489,-114.319,3.174,159.219,16.386,-171.211,walking
-0.056,0.023,-0.883,-13.489,-114.319,3.174,159.005,17.441,-171.683,walking
-0.056,0.017,-0.771,9.888,-110.352,-5.981,159.055,18.484,-172.051,walking
-0.028,0.017,-0.771,9.888,-110.352,-5.981,159.104,19.512,-172.414,walking
-0.028,0.047,-0.655,22.888,-96.252,-4.639,159.291,20.396,-172.738,walking
-0.021,0.047,-0.655,22.888,-96.252,-4.639,159.478,21.27,-173.057,walking
-0.021,0.144,-0.614,28.259,-71.533,2.747,159.719,21.879,-173.353,walking
0.063,0.144,-0.614,28.259,-71.533,2.747,159.955,22.478,-173.65,walking
0.063,0.371,-0.825,26.794,-27.832,23.01,160.148,22.593,-173.985,walking
0.148,0.371,-0.825,26.794,-27.832,23.01,160.334,22.698,-174.32,walking
0.148,0.646,-1.277,15.137,56.396,52.734,160.389,21.901,-174.655,walking
-0.358,0.646,-1.277,15.137,56.396,52.734,160.444,21.099,-174.985,walking
-0.358,0.736,-1.355,-7.446,129.7,56.763,160.34,19.6,-175.095,walking
-0.729,0.736,-1.355,-7.446,129.7,56.763,160.236,18.122,-175.204,walking
-0.729,0.546,-1.004,-35.095,115.723,-0.732,160.01,16.985,-174.792,walking
-0.419,0.546,-1.004,-35.095,115.723,-0.732,159.769,15.881,-174.375,walking
-0.419,0.386,-0.866,-60.059,94.299,-56.58,159.401,15.183,-173.491,walking
-0.214,0.386,-0.866,-60.059,94.299,-56.58,159.022,14.502,-172.601,walking
