ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,label
0.0,0.068,-0.936,3.052,-50.049,20.63,168.783,1.148,38.43,running
0.0,0.077,-0.928,9.583,-48.218,27.039,168.898,1.522,38.068,running
-0.028,0.077,-0.928,9.583,-48.218,27.039,169.008,1.895,37.711,running
-0.028,0.098,-0.943,15.869,-47.668,31.982,169.178,2.258,37.299,running
-0.042,0.098,-0.943,15.869,-47.668,31.982,169.349,2.62,36.892,running
-0.042,0.15,-0.946,20.325,-50.537,36.072,169.552,3.01,36.442,running
-0.028,0.15,-0.946,20.325,-50.537,36.072,169.75,3.406,35.997,running
-0.028,0.221,-0.993,22.522,-49.927,41.809,169.958,3.779,35.491,running
-0.047,0.221,-0.993,22.522,-49.927,41.809,170.162,4.164,34.986,running
-0.047,0.237,-1.088,21.057,-41.382,45.654,170.343,4.455,34.464,running
-0.087,0.237,-1.088,21.057,-41.382,45.654,170.513,4.752,33.937,running
-0.087,0.13,-1.046,24.658,-36.255,51.697,170.717,4.988,33.365,running
-0.069,0.13,-1.046,24.658,-36.255,51.697,170.914,5.229,32.789,running
-0.069,-0.039,-0.919,33.02,-29.968,57.068,171.194,5.405,32.173,running
-0.059,-0.039,-0.919,33.02,-29.968,57.068,171.48,5.587,31.558,running
-0.059,-0.184,-0.801,40.771,-19.226,63.965,171.837,5.658,30.888,running
-0.091,-0.184,-0.801,40.771,-19.226,63.965,172.205,5.729,30.223,running
-0.091,-0.265,-0.741,49.011,-12.939,73.425,172.65,5.735,29.476,running
-0.123,-0.265,-0.741,49.011,-12.939,73.425,173.106,5.751,28.724,running
-0.123,-0.219,-0.794,50.598,-15.503,86.853,173.568,5.784,27.834,running
-0.13,-0.219,-0.794,50.598,-15.503,86.853,174.034,5.828,26.949,running
-0.13,-0.058,-0.881,46.753,-18.982,102.478,174.446,5.9,25.906,running
-0.115,-0.058,-0.881,46.753,-18.982,102.478,174.853,5.977,24.857,running
-0.115,0.102,-0.956,37.659,-20.142,112.244,175.155,6.07,23.714,running
-0.097,0.102,-0.956,37.659,-20.142,112.244,175.441,6.169,22.571,running
-0.097,0.216,-1.003,22.461,-18.005,113.098,175.573,6.251,21.418,running
-0.105,0.216,-1.003,22.461,-18.005,113.098,175.688,6.339,20.27,running
-0.105,0.307,-1.039,5.31,-13.306,107.361,175.627,6.378,19.182,running
-0.14,0.307,-1.039,5.31,-13.306,107.361,175.562,6.422,18.089,running
-0.14,0.373,-1.168,-6.409,-9.949,99.548,175.375,6.432,17.084,running
-0.221,0.373,-1.168,-6.409,-9.949,99.548,175.182,6.443,16.073,running
-0.221,0.436,-1.295,-13.0,-8.362,89.783,174.957,6.449,15.112,running
-0.267,0.436,-1.295,-13.0,-8.362,89.783,174.694,6.449,14.205,running
-0.267,0.371,-1.167,3.662,-19.348,84.045,174.518,6.509,13.315,running
-0.142,0.371,-1.167,3.662,-19.348,84.045,174.419,6.625,12.453,running
-0.142,0.165,-0.947,17.09,-16.052,82.703,174.386,6.724,11.602,running
-0.096,0.165,-0.947,17.09,-16.052,82.703,174.419,6.806,10.756,running
-0.096,-0.04,-0.821,21.301,-4.15,92.896,174.468,6.828,9.86,running
-0.179,-0.04,-0.821,21.301,-4.15,92.896,174.54,6.79,8.926,running
-0.179,-0.257,-0.78,26.55,8.606,109.436,174.639,6.674,7.91,running
-0.326,-0.257,-0.78,26.55,8.606,109.436,174.771,6.498,6.823,running
-0.326,-0.396,-0.808,37.231,13.794,118.408,174.963,6.301,5.685,running
-0.378,-0.396,-0.808,37.231,13.794,118.408,175.226,6.086,4.51,running
-0.378,-0.431,-0.964,55.725,3.845,122.803,175.594,5.933,3.301,running
-0.348,-0.431,-0.964,55.725,3.845,122.803,176.072,5.839,2.071,running
-0.348,-0.414,-1.099,70.007,-15.93,122.681,176.627,5.861,0.829,running
-0.242,-0.414,-1.099,70.007,-15.93,122.681,177.259,6.004,-0.412,running
-0.242,-0.344,-1.11,71.289,-37.842,112.366,177.902,6.268,-1.609,running
-0.082,-0.344,-1.11,71.289,-37.842,112.366,178.555,6.652,-2.758,running
-0.082,-0.244,-1.073,72.021,-48.523,91.431,179.214,7.097,-3.796,running
0.051,-0.244,-1.073,72.021,-48.523,91.431,179.879,7.603,-4.724,running
0.051,-0.074,-0.901,65.796,-44.739,70.74,-179.473,8.091,-5.543,running
0.115,-0.074,-0.901,65.796,-44.739,70.74,-178.863,8.558,-6.257,running
0.115,0.063,-0.776,55.298,-31.006,62.5,-178.314,8.954,-6.916,running
0.153,0.063,-0.776,55.298,-31.006,62.5,-177.819,9.272,-7.537,running
0.153,0.11,-0.815,43.03,-9.033,66.895,-177.407,9.481,-8.185,running
0.079,0.11,-0.815,43.03,-9.033,66.895,-177.067,9.575,-8.855,running
0.079,0.083,-0.913,27.283,17.09,70.313,-176.825,9.536,-9.547,running
-0.093,0.083,-0.913,27.283,17.09,70.313,-176.666,9.366,-10.267,running
-0.093,0.038,-1.0,13.367,36.438,71.96,-176.583,9.102,-11.003,running
-0.288,0.038,-1.0,13.367,36.438,71.96,-176.572,8.74,-11.75,running
-0.288,0.0,-1.047,7.568,47.363,74.219,-176.589,8.333,-12.513,running
-0.455,0.0,-1.047,7.568,47.363,74.219,-176.633,7.888,-13.288,running
-0.455,-0.09,-1.148,21.912,49.438,73.975,-176.594,7.438,-14.063,running
-0.599,-0.09,-1.148,21.912,49.438,73.975,-176.484,6.993,-14.837,running
-0.599,-0.205,-1.176,47.058,36.316,72.754,-176.237,6.63,-15.595,running
-0.644,-0.205,-1.176,47.058,36.316,72.754,-175.853,6.35,-16.353,running
-0.644,-0.217,-1.14,62.988,12.146,85.022,-175.397,6.213,-17.161,running
-0.606,-0.217,-1.14,62.988,12.146,85.022,-174.858,6.218,-18.018,running
-0.606,-0.177,-1.073,68.237,-9.583,109.68,-174.309,6.361,-18.995,running
-0.501,-0.177,-1.073,68.237,-9.583,109.68,-173.754,6.641,-20.083,running
-0.501,-0.111,-0.967,54.26,-28.931,132.446,-173.282,7.048,-21.27,running
-0.356,-0.111,-0.967,54.26,-28.931,132.446,-172.908,7.57,-22.56,running
-0.356,-0.063,-0.792,27.893,-38.147,147.644,-172.694,8.152,-23.917,running
-0.225,-0.063,-0.792,27.893,-38.147,147.644,-172.628,8.795,-25.351,running
-0.225,-0.057,-0.656,3.662,-25.33,150.94,-172.711,9.371,-26.807,running
-0.18,-0.057,-0.656,3.662,-25.33,150.94,-172.93,9.882,-28.295,running
-0.18,-0.101,-0.7,-8.24,3.235,130.31,-173.205,10.223,-29.702,running
-0.196,-0.101,-0.7,-8.24,3.235,130.31,-173.524,10.404,-31.025,running
-0.196,-0.162,-0.911,-13.306,19.409,98.633,-173.842,10.47,-32.195,running
-0.127,-0.162,-0.911,-13.306,19.409,98.633,-174.155,10.432,-33.217,running
-0.127,-0.211,-1.146,-23.926,32.959,73.486,-174.496,10.305,-34.118,running
-0.019,-0.211,-1.146,-23.926,32.959,73.486,-174.858,10.085,-34.898,running
-0.019,-0.214,-1.289,-6.897,49.194,72.388,-175.128,9.772,-35.678,running
0.021,-0.214,-1.289,-6.897,49.194,72.388,-175.309,9.366,-36.453,running
0.021,-0.229,-1.229,7.629,75.317,106.262,-175.435,8.833,-37.414,running
