ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,label
0.066,0.182,-0.988,0.061,-0.061,0.122,169.102,-3.939,12.854,lying
0.066,0.183,-0.988,0.183,0.061,0.183,169.107,-3.939,12.854,lying
0.065,0.183,-0.988,0.183,0.061,0.183,169.113,-3.939,12.849,lying
0.065,0.184,-0.987,-0.061,0,0.244,169.113,-3.939,12.849,lying
0.066,0.184,-0.987,-0.061,0,0.244,169.118,-3.939,12.843,lying
0.066,0.183,-0.987,-0.244,0.244,0.305,169.118,-3.939,12.843,lying
0.064,0.183,-0.987,-0.244,0.244,0.305,169.118,-3.944,12.838,lying
0.064,0.182,-0.988,-0.427,0,0.427,169.113,-3.944,12.838,lying
0.065,0.182,-0.988,-0.427,0,0.427,169.113,-3.939,12.832,lying
0.065,0.183,-0.989,-0.366,-0.122,0.488,169.113,-3.939,12.827,lying
0.066,0.183,-0.989,-0.366,-0.122,0.488,169.113,-3.939,12.821,lying
0.066,0.184,-0.988,-0.427,0.122,0.549,169.107,-3.939,12.816,lying
0.066,0.184,-0.988,-0.427,0.122,0.549,169.107,-3.939,12.81,lying
0.066,0.184,-0.989,-0.61,0.244,0.732,169.107,-3.944,12.805,lying
0.064,0.184,-0.989,-0.61,0.244,0.732,169.102,-3.944,12.799,lying
0.064,0.184,-0.991,-0.671,0.122,0.732,169.096,-3.944,12.788,lying
0.066,0.184,-0.991,-0.671,0.122,0.732,169.091,-3.95,12.783,lying
0.066,0.184,-0.99,-0.61,0.061,0.61,169.091,-3.95,12.777,lying
0.065,0.184,-0.99,-0.61,0.061,0.61,169.085,-3.95,12.772,lying
0.065,0.184,-0.99,-0.732,0,0.671,169.08,-3.95,12.766,lying
0.065,0.184,-0.99,-0.732,0,0.671,169.08,-3.95,12.755,lying
0.065,0.185,-0.99,-0.61,-0.061,0.793,169.074,-3.95,12.75,lying
0.065,0.185,-0.99,-0.61,-0.061,0.793,169.069,-3.95,12.739,lying
0.065,0.187,-0.989,-0.61,-0.061,0.854,169.069,-3.95,12.733,lying
0.067,0.187,-0.989,-0.61,-0.061,0.854,169.063,-3.944,12.722,lying
0.067,0.187,-0.988,-0.488,0.122,1.099,169.063,-3.95,12.711,lying
