ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ,label
-0.85,0.133,-0.572,-1.343,0.061,7.446,165.795,53.438,63.007,sitting
-0.85,0.142,-0.589,-3.845,-1.892,5.249,165.696,53.448,62.913,sitting
-0.832,0.142,-0.589,-3.845,-1.892,5.249,165.591,53.459,62.82,sitting
-0.832,0.14,-0.577,-4.028,-4.211,3.174,165.504,53.492,62.748,sitting
-0.792,0.14,-0.577,-4.028,-4.211,3.174,165.421,53.531,62.677,sitting
-0.792,0.141,-0.564,-3.54,-2.38,1.831,165.366,53.553,62.639,sitting
-0.784,0.141,-0.564,-3.54,-2.38,1.831,165.306,53.575,62.6,sitting
-0.784,0.147,-0.582,-4.456,0.427,2.136,165.245,53.569,62.567,sitting
-0.792,0.147,-0.582,-4.456,0.427,2.136,165.185,53.564,62.534,sitting
-0.792,0.15,-0.587,-4.944,0.61,3.113,165.103,53.553,62.485,sitting
-0.785,0.15,-0.587,-4.944,0.61,3.113,165.026,53.536,62.435,sitting
-0.785,0.146,-0.572,-4.15,-0.854,3.052,164.949,53.536,62.386,sitting
-0.766,0.146,-0.572,-4.15,-0.854,3.052,164.877,53.536,62.331,sitting
-0.766,0.143,-0.564,-1.77,-0.427,3.113,164.822,53.536,62.276,sitting
-0.786,0.143,-0.564,-1.77,-0.427,3.113,164.773,53.531,62.227,sitting
-0.786,0.148,-0.577,0.244,1.953,3.845,164.74,53.498,62.172,sitting
-0.839,0.148,-0.577,0.244,1.953,3.845,164.707,53.47,62.117,sitting
-0.839,0.151,-0.589,0.671,0.122,3.967,164.674,53.459,62.056,sitting
-0.835,0.151,-0.589,0.671,0.122,3.967,164.636,53.448,61.99,sitting
-0.835,0.146,-0.572,1.16,-3.845,2.747,164.608,53.476,61.93,sitting
-0.81,0.146,-0.572,1.16,-3.845,2.747,164.581,53.509,61.87,sitting
-0.81,0.14,-0.553,1.709,-2.625,1.831,164.57,53.531,61.826,sitting
-0.819,0.14,-0.553,1.709,-2.625,1.831,164.564,53.553,61.787,sitting
-0.819,0.145,-0.551,2.319,0.183,1.526,164.575,53.547,61.76,sitting
-0.825,0.145,-0.551,2.319,0.183,1.526,164.586,53.547,61.738,sitting
-0.825,0.149,-0.566,1.77,0.854,0.671,164.608,53.542,61.732,sitting
-0.834,0.149,-0.566,1.77,0.854,0.671,164.625,53.531,61.721,sitting
-0.834,0.148,-0.57,0.244,-0.122,-1.465,164.652,53.542,61.749,sitting
-0.859,0.148,-0.57,0.244,-0.122,-1.465,164.68,53.553,61.771,sitting
-0.859,0.137,-0.572,-0.122,-3.479,-3.784,164.724,53.602,61.815,sitting
-0.82,0.137,-0.572,-0.122,-3.479,-3.784,164.762,53.652,61.864,sitting
-0.82,0.14,-0.565,0.427,-6.592,-4.7,164.811,53.734,61.908,sitting
-0.768,0.14,-0.565,0.427,-6.592,-4.7,164.861,53.811,61.957,sitting
-0.768,0.161,-0.563,-0.671,-2.441,-2.991,164.888,53.849,61.996,sitting
-0.8,0.161,-0.563,-0.671,-2.441,-2.991,164.916,53.882,62.034,sitting
-0.8,0.167,-0.586,-1.953,0.671,-1.282,164.921,53.877,62.056,sitting
-0.801,0.167,-0.586,-1.953,0.671,-1.282,164.921,53.877,62.084,sitting
-0.801,0.156,-0.576,-2.502,-1.038,-1.831,164.921,53.893,62.106,sitting
-0.778,0.156,-0.576,-2.502,-1.038,-1.831,164.916,53.904,62.133,sitting
-0.778,0.145,-0.565,-2.93,-1.465,-1.831,164.91,53.926,62.155,sitting
-0.775,0.145,-0.565,-2.93,-1.465,-1.831,164.899,53.943,62.183,sitting
-0.775,0.143,-0.567,-2.502,0.122,0.366,164.872,53.937,62.177,sitting
-0.813,0.143,-0.567,-2.502,0.122,0.366,164.844,53.932,62.172,sitting
-0.813,0.136,-0.575,-0.671,0.427,2.075,164.817,53.921,62.139,sitting
-0.839,0.136,-0.575,-0.671,0.427,2.075,164.789,53.91,62.106,sitting
-0.839,0.125,-0.569,2.38,-3.174,3.052,164.767,53.932,62.04,sitting
-0.834,0.125,-0.569,2.38,-3.174,3.052,164.745,53.954,61.979,sitting
-0.834,0.127,-0.56,4.15,-5.249,2.808,164.74,53.998,61.908,sitting
-0.809,0.127,-0.56,4.15,-5.249,2.808,164.734,54.042,61.837,sitting
-0.809,0.133,-0.544,5.249,-4.333,1.892,164.756,54.08,61.787,sitting
-0.814,0.133,-0.544,5.249,-4.333,1.892,164.773,54.119,61.738,sitting
-0.814,0.139,-0.536,6.226,-0.977,1.77,164.817,54.13,61.705,sitting
-0.829,0.139,-0.536,6.226,-0.977,1.77,164.861,54.135,61.672,sitting
-0.829,0.152,-0.55,5.981,0.0,1.587,164.905,54.135,61.644,sitting
-0.819,0.152,-0.55,5.981,0.0,1.587,164.949,54.135,61.617,sitting
-0.819,0.156,-0.56,4.517,0.244,0.61,164.993,54.135,61.611,sitting
-0.818,0.156,-0.56,4.517,0.244,0.61,165.031,54.135,61.6,sitting
-0.818,0.151,-0.561,3.113,0.183,-0.977,165.081,54.141,61.617,sitting
-0.851,0.151,-0.561,3.113,0.183,-0.977,165.125,54.146,61.633,sitting
-0.851,0.146,-0.578,2.686,-2.686,-2.625,165.179,54.179,61.666,sitting
-0.846,0.146,-0.578,2.686,-2.686,-2.625,165.234,54.218,61.699,sitting
